GXLC210_DTEX_50_38,3.63,3.31,3.06,3.02,2.88,2.81,2.92,2.63,2.6,2.24,1.99,1.46,1.28,1.03,,,,,,
GXLC210_DTEX_50_39,3.09,3.06,3.16,2.95,2.92,2.77,2.67,2.63,2.52,2.42,2.35,2.31,2.03,,,,,,,
GXLC210_DTEX_50_40,3.02,3.13,3.38,3.16,3.14,2.77,2.74,2.38,2.2,1.92,1.74,1.39,1.35,,,,,,,
GXLC210_DTEX_50_41,4.02,3.88,3.88,3.84,3.63,3.31,3.16,2.95,2.88,2.35,2.17,1.96,1.81,1.71,1.14,,,,,
GXLC210_DTEX_50_42,2.77,2.92,3.02,3.06,3.16,2.95,2.84,2.49,2.31,1.96,1.6,1.49,1.5,1.24,1.17,0.92,,,,
GXLC210_DTEX_50_43,3.16,3.2,3.48,3.38,3.45,3.45,2.95,2.95,2.84,2.31,2.28,1.81,1.71,1.32,1.17,,,,,
GXLC210_DTEX_50_44,4.12,4.23,4.41,3.77,3.31,3.13,3.13,2.77,2.45,2.31,1.78,,,,,,,,,
GXLC210_DTEX_50_45,2.31,2.6,2.92,3.02,3.02,3.06,2.81,2.67,2.77,2.35,2.28,1.78,1.71,1.42,,,,,,
GXLC210_DTEX_50_46,3.77,3.34,2.99,2.84,2.67,2.63,2.56,2.7,2.13,1.99,1.92,1.89,1.53,1.42,,,,,,
GXLC210_DTEX_50_47,2.84,3.13,3.7,3.66,3.91,3.56,3.56,2.92,2.84,2.13,2.06,1.6,1.56,,,,,,,
GXLC210_DTEX_50_48,2.31,2.56,2.95,2.95,3.24,3.27,3.31,3.16,3.09,2.63,2.63,2.2,2.2,1.78,1.64,1.39,,,,
GXLC210_DTEX_50_49,2.52,2.7,3.02,2.95,2.84,2.74,2.67,2.2,1.96,,,,,,,,,,,
GXLC210_DTEX_50_50,2.49,2.52,2.7,2.77,2.92,2.74,2.67,2.56,2.49,2.03,1.88,1.56,1.39,1.14,1.1,0.82,,,,
GXLC210_DTEX_50_51,2.81,3.06,3.09,3.13,3.38,3.41,3.52,3.52,3.34,3.09,2.99,2.45,2.1,,,,,,,
GXLC210_DTEX_50_52,3.91,4.09,4.12,3.86,3.77,3.66,3.52,3.41,3.24,2.6,2.2,,,,,,,,,
GXLC210_DTEX_50_53,3.09,2.95,2.95,2.77,2.6,2.45,2.35,1.88,1.46,1.42,1,,,,,,,,,
GXLC210_DTEX_50_54,2.45,2.88,3.02,3.48,3.59,3.48,3.38,3.2,3.13,2.63,2.56,,,,,,,,,
