GXRA200_DTEX_50_1,1.88,2.19,1.85,1.99,2.03,1.92,1.78,1.81,1.56,1.56,1.39,1.56,1.3,1.32,,,,,,
GXRA200_DTEX_50_2,4.62,2.95,3.11,2.72,2.44,2.45,2.44,2.2,2.03,1.67,1.64,,,,,,,,,
GXRA200_DTEX_50_3,2.81,3.38,2.81,2.81,2.49,2.95,2.28,2.79,1.85,1.74,1.24,,,,,,,,,
GXRA200_DTEX_50_4,3.73,3.88,3.38,4.05,3.34,3.27,3.27,3.2,2.7,2.52,2.2,2.03,,,,,,,,
GXRA200_DTEX_50_5,3.95,3.77,3.73,3.59,3.41,3.38,3.41,3.16,2.88,1.78,1.24,,,,,,,,,
GXRA200_DTEX_50_6,4.84,4.52,4.59,4.44,3.77,3.48,3.06,2.49,1.96,1.78,1.17,1.07,0.89,0.82,,,,,,
GXRA200_DTEX_50_7,3.77,3.98,3.84,3.59,3.27,3.09,2.1,2.84,2.38,2.13,1.88,,,,,,,,,
GXRA200_DTEX_50_8,3.41,3.38,3.77,3.59,3.63,3.38,3.06,2.88,2.2,2.1,1.92,1.65,,,,,,,,
GXRA200_DTEX_50_9,2.84,2.99,3.06,3.24,3.13,3.16,2.74,2.7,2.49,2.49,2.2,2.2,1.81,1.67,1.28,,,,,
GXRA200_DTEX_50_10,2.38,2.88,2.6,2.7,2.77,3.63,3.08,3.77,3.06,2.67,2.2,1.96,1.6,1.42,1.17,,,,,
GXRA200_DTEX_50_11,2.49,2.95,3.45,3.24,3.24,2.88,2.88,2.7,2.7,2.1,1.96,1.64,1.49,1,,,,,,
GXRA200_DTEX_50_12,2.99,3.24,3.38,3.31,3.31,2.92,2.52,2.35,1.81,1.88,1.32,0.96,,,,,,,,
GXRA200_DTEX_50_13,3.52,3.59,3.7,3.93,3.64,3.7,3.31,3.41,3.02,2.95,2.31,1.64,1.42,1.24,,,,,,
GXRA200_DTEX_50_14,3.02,2.84,3.31,3.16,3.13,2.99,2.77,2.29,2.31,1.85,1.42,1.28,0.96,0.6,,,,,,
GXRA200_DTEX_50_15,2.67,3.27,3.34,3.13,3.34,2.81,3.16,2.2,1.78,1.53,1.42,,,,,,,,,
GXRA200_DTEX_50_16,2.99,2.92,2.84,3.16,2.95,2.84,2.56,2.7,2.38,2.52,2.63,2.24,2.17,1.78,,,,,,
GXRA200_DTEX_50_17,2.74,2.79,2.84,2.7,2.7,2.88,2.63,2.6,2.35,2.45,1.85,1.39,1.49,1,0.71,,,,,
GXRA200_DTEX_50_18,2.84,3.09,3.34,3.48,2.88,2.95,3.02,3.13,2.81,2.45,2.1,1.85,1.6,1.07,1.42,1.24,1.07,,,
GXRA200_DTEX_50_19,2.77,3.24,3.02,3.02,2.67,2.6,2.29,2.28,2.31,3.15,1.85,2.04,2.2,2.31,0.92,1.28,,,,
